Date,Type,Link
2021-01-12 20:07:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6754660596702093312
2021-01-09 17:59:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6753226609588764673
2021-01-08 18:35:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6753332096158179328
2021-01-06 20:57:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742695241372983296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6742695241372983296%2C6744536429512138752%29
2021-01-06 20:57:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742695241372983296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6742695241372983296%2C6747165033744134144%29
2021-01-06 14:42:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6752571074803752961
2021-01-05 06:23:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6747784496365506560
2021-01-01 20:57:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6750871269199118337
2020-12-31 13:22:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6750307994950475776?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6750307994950475776%2C6750362646639333376%29
2020-12-31 13:22:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6750049662658453504
2020-12-31 10:33:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6750307994950475776?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6750307994950475776%2C6750337252699758592%29
2020-12-31 10:33:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6750307994950475776?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6750307994950475776%2C6750318571068391424%29
2020-12-22 15:33:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6747108593180413952
2020-12-19 07:50:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6744128192145108992
2020-12-18 12:07:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6745596494507720704
2020-12-13 09:44:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742695241372983296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6742695241372983296%2C6743517427159576576%29
2020-12-11 08:57:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741995106338926592
2020-12-10 21:31:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741925623830200321
2020-12-10 13:17:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742695241372983296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6742695241372983296%2C6742773302516817920%29
2020-12-10 12:30:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742695241372983296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6742695241372983296%2C6742742962796539904%29
2020-12-10 09:38:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6742695241372983296?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6742695241372983296%2C6742712743889006592%29
2020-12-02 20:23:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739980695743041536
2020-11-30 19:01:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739174359203622912
2020-11-27 21:17:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6738166708772605952
2020-11-24 10:58:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6736917959987499008
2020-11-11 21:25:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6732368363235926016
2020-11-11 18:09:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6732312756701163520
2020-11-10 19:13:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6731636583490957312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6731636583490957312%2C6731880723684343808%29
2020-11-10 12:49:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6731904589404127232
2020-11-05 22:09:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6730192792808644608
2020-11-01 19:22:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6728725423426940928
2020-11-01 11:10:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6728417349977944064
2020-10-05 04:02:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6716321267143843840
2020-09-29 19:47:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6716585541804027904?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6716585541804027904%2C6716658777610842113%29
2020-09-28 19:51:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6713699890691682304
2020-08-06 17:01:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696415418682241024
2020-07-17 19:10:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6689965529509314560
2020-06-29 18:06:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6682474446885814272
2020-06-29 18:06:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6683329975539552256
2020-06-09 19:21:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6676090820447277057
2020-06-07 18:53:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A8930743-6672149364095483904
2020-06-05 13:27:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6674651701946929153
2020-06-04 20:04:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6668419805743333377
2020-06-01 19:14:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6673259696083800064
2020-05-24 15:14:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6669651914235416577
